ticker,company_name,industry_group,sector_detail,company_type
STD,Công ty Cổ phần Bia - Nước giải khát Sài Gòn - Tây Đô,Thực phẩm và đồ uống,Sản xuất bia,CT
HPO,Công ty Cổ phần Công nghiệp Hapulico,Hàng & Dịch vụ Công nghiệp,Thiết bị điện,CT
NJC,Công ty Cổ phần May Nam Định,Hàng cá nhân & Gia dụng,Hàng May mặc,CT
PSH,Công ty Cổ phần Thương mại Đầu tư Dầu khí Nam Sông Hậu,"Điện, nước & xăng dầu khí đốt",Phân phối xăng dầu & khí đốt,CT
OCB,Ngân hàng Thương mại Cổ phần Phương Đông,Ngân hàng,Ngân hàng,NH
EVS,Công ty Cổ phần Chứng khoán EVS,Dịch vụ tài chính,Môi giới chứng khoán,CK
PAP,Công ty Cổ phần Dầu khí đầu tư khai thác Cảng Phước An,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT
PHR,Công ty Cổ phần Cao su Phước Hòa,Hóa chất,"Nhựa, cao su & sợi",CT
PVB,Công ty Cổ phần Bọc ống Dầu khí Việt Nam,Dầu khí,Thiết bị và Dịch vụ Dầu khí,CT
PXA,Công ty Cổ phần Đầu tư và Thương mại Dầu khí Nghệ An,Bất động sản,Bất động sản,CT
QNC,Công ty Cổ phần Xi măng và Xây dựng Quảng Ninh,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
SCR,Công ty Cổ phần Địa Ốc Sài Gòn Thương Tín,Bất động sản,Bất động sản,CT
TBD,Tổng công ty Thiết bị điện Đông Anh - Công ty Cổ phần,Hàng & Dịch vụ Công nghiệp,Thiết bị điện,CT
TNV,Công ty Cổ phần Thống Nhất Hà Nội,Hàng cá nhân & Gia dụng,Hàng cá nhân,CT
TJC,Công ty Cổ phần Dịch vụ Vận tải và Thương mại,Hàng & Dịch vụ Công nghiệp,Dịch vụ vận tải,CT
BCF,Công ty Cổ phần Thực phẩm Bích Chi,Thực phẩm và đồ uống,Thực phẩm,CT
TPP,Công ty Cổ phần Tân Phú Việt Nam,Hàng & Dịch vụ Công nghiệp,Containers & Đóng gói,CT
TVB,Công ty Cổ phần Chứng khoán T-Cap,Dịch vụ tài chính,Môi giới chứng khoán,CK
DXV,Công ty Cổ phần VICEM Vật liệu Xây dựng Đà Nẵng,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
LEC,Công ty Cổ phần Bất động sản Điện lực Miền Trung,Bất động sản,Bất động sản,CT
HUT,Công ty Cổ phần Tasco,Ô tô và phụ tùng,Sản xuất ô tô,CT
ASM,Công ty Cổ phần Tập đoàn Sao Mai,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT
BKG,Công ty Cổ phần Đầu tư BKG Việt Nam,Hàng cá nhân & Gia dụng,Thiết bị gia dụng,CT
CID,Công ty Cổ phần Xây dựng và Phát triển Cơ sở Hạ tầng,Xây dựng và Vật liệu,Xây dựng,CT
TDB,Công ty Cổ phần Thủy điện Định Bình,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT
RAL,Công ty Cổ phần Bóng đèn Phích nước Rạng Đông,Hàng cá nhân & Gia dụng,Thiết bị gia dụng,CT
TVN,Tổng Công ty Thép Việt Nam - Công ty Cổ phần,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT
AG1,Công ty Cổ phần 28.1,Hàng cá nhân & Gia dụng,Hàng May mặc,CT
BHN,Tổng Công ty Cổ phần Bia - Rượu - Nước giải khát Hà Nội,Thực phẩm và đồ uống,Sản xuất bia,CT
BLN,Công ty Cổ phần Vận tải và Dịch vụ Liên Ninh,Du lịch và Giải trí,Vận tải hành khách & Du lịch,CT
TT6,Công ty Cổ Phần Tập Đoàn Tiến Thịnh,Thực phẩm và đồ uống,Thực phẩm,CT
CNN,"Công ty Cổ phần Tư vấn Công nghệ, Thiết bị và Kiểm định Xây dựng - CONINCO",Xây dựng và Vật liệu,Xây dựng,CT
DWC,Công ty Cổ phần Cấp nước Đắk Lắk,"Điện, nước & xăng dầu khí đốt",Nước,CT
QHW,Công ty Cổ phần Nước khoáng Quảng Ninh,Thực phẩm và đồ uống,Đồ uống & giải khát,CT
TIN,Công ty Tài chính tổng hợp cổ phần Tín Việt,Dịch vụ tài chính,Quản lý tài sản,NH
VSM,Công ty Cổ phần Container Miền Trung,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT
DHG,Công ty Cổ phần Dược Hậu Giang,Y tế,Dược phẩm,CT
ELC,Công ty Cổ phần Công nghệ - Viễn thông ELCOM,Công nghệ Thông tin,Thiết bị viễn thông,CT
BWA,Công ty Cổ phần Cấp thoát nước và Xây dựng Bảo Lộc,"Điện, nước & xăng dầu khí đốt",Nước,CT
MED,Công ty Cổ phần Dược Trung ương Mediplantex,Y tế,Dược phẩm,CT
ROS,Công ty Cổ phần Xây dựng FLC FAROS,Xây dựng và Vật liệu,Xây dựng,CT
MFS,Công ty Cổ phần Dịch vụ kỹ thuật Mobifone,Viễn thông,Viễn thông di động,CT
ADP,Công ty Cổ phần Sơn Á Đông,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
USC,Công ty Cổ phần Khảo sát và Xây dựng - USCO,Xây dựng và Vật liệu,Xây dựng,CT
VAB,Ngân hàng Thương mại Cổ phần Việt Á,Ngân hàng,Ngân hàng,NH
TRS,Công ty Cổ phần Vận tải và Dịch vụ Hàng Hải,Hàng & Dịch vụ Công nghiệp,Vận tải Thủy,CT
HIO,Công ty Cổ Phần Helio Energy,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT
DNT,Công ty Cổ phần Du lịch Đồng Nai,Du lịch và Giải trí,Dịch vụ giải trí,CT
CMT,Công ty Cổ phần Công nghệ mạng và Truyền thông,Công nghệ Thông tin,Phần mềm,CT
VHL,Công ty Cổ phần Viglacera Hạ Long,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
BBT,Công ty Cổ phần Bông Bạch Tuyết,Hàng cá nhân & Gia dụng,Hàng cá nhân,CT
BMI,Tổng Công ty Cổ phần Bảo Minh,Bảo hiểm,Bảo hiểm phi nhân thọ,BH
FTI,Công ty Cổ phần Công nghiệp - Thương mại Hữu Nghị,Ô tô và phụ tùng,Phụ tùng ô tô,CT
DCF,Công ty Cổ phần Xây dựng và Thiết kế số 1,Xây dựng và Vật liệu,Xây dựng,CT
HAM,Công ty Cổ phần Vật tư Hậu Giang,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
HPB,Công ty Cổ phần Bao bì PP,Hàng & Dịch vụ Công nghiệp,Containers & Đóng gói,CT
BLF,Công ty Cổ phần Thủy sản Bạc Liêu,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT
HPP,Công ty Cổ phần Sơn Hải Phòng,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
HHP,Công ty Cổ phần HHP Global,Tài nguyên Cơ bản,Sản xuất giấy,CT
IHK,Công ty Cổ phần In Hàng Không,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",CT
H11,Công ty Cổ phần Xây dựng HUD101,Xây dựng và Vật liệu,Xây dựng,CT
VNI,Công ty Cổ phần Đầu tư Bất động sản Việt Nam,Bất động sản,Bất động sản,CT
PPP,Công ty Cổ phần Dược phẩm Phong Phú,Y tế,Dược phẩm,CT
LMI,Công ty Cổ phần Đầu tư Xây dựng Lắp máy IDICO,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT
MZG,Công ty Cổ Phần Miza,Tài nguyên Cơ bản,Sản xuất giấy,CT
QNU,Công ty Cổ phần Môi trường Đô thị Quảng Nam,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT
MTB,Công ty Cổ phần Môi trường và Công trình đô thị tỉnh Thái Bình,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT
CQT,Công ty Cổ phần Xi măng Quán Triều VVMI,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
NHC,Công ty Cổ phần Gạch ngói Nhị Hiệp,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
TTT,Công ty Cổ phần Du Lịch - Thương Mại Tây Ninh,Du lịch và Giải trí,Vận tải hành khách & Du lịch,CT
PHS,Công ty Cổ phần Chứng khoán Phú Hưng,Dịch vụ tài chính,Môi giới chứng khoán,CK
NAF,Công ty Cổ phần Nafoods Group,Thực phẩm và đồ uống,Đồ uống & giải khát,CT
PXS,Công ty Cổ phần Kết cấu Kim loại và Lắp máy Dầu khí,Xây dựng và Vật liệu,Xây dựng,CT
POM,Công ty Cổ phần Thép Pomina,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT
PX1,Công ty Cổ phần Xi măng Sông Lam 2,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
PVM,Công ty Cổ phần Máy - Thiết bị Dầu khí,Hàng & Dịch vụ Công nghiệp,Nhà cung cấp thiết bị,CT
CQN,Công ty Cổ phần Cảng Quảng Ninh,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT
QNT,Công ty Cổ phần Tư vấn và Đầu tư Phát triển Quảng Nam,Xây dựng và Vật liệu,Xây dựng,CT
RCD,Công ty Cổ phần Xây dựng - Địa ốc Cao su,Xây dựng và Vật liệu,Xây dựng,CT
VSG,Công ty Cổ phần Container Phía Nam,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT
S99,Công ty Cổ phần SCI,Xây dựng và Vật liệu,Xây dựng,CT
SAV,Công ty Cổ phần Hợp tác Kinh tế và Xuất nhập khẩu Savimex,Tài nguyên Cơ bản,Lâm sản và Chế biến gỗ,CT
SCD,Công ty Cổ phần Nước giải khát Chương Dương,Thực phẩm và đồ uống,Đồ uống & giải khát,CT
SGH,Công ty Cổ phần Khách sạn Sài Gòn,Du lịch và Giải trí,Khách sạn,CT
SBV,Công ty Cổ phần Siam Brothers Việt Nam,Bán lẻ,Phân phối hàng chuyên dụng,CT
SPD,Công ty Cổ phần Xuất nhập khẩu Thủy sản Miền Trung,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT
SSM,Công ty Cổ phần Chế tạo kết cấu thép VNECO.SSM,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT
SVC,Công ty Cổ phần Dịch vụ tổng hợp Sài Gòn,Ô tô và phụ tùng,Sản xuất ô tô,CT
TA9,Công ty Cổ phần Xây lắp Thành An 96,Xây dựng và Vật liệu,Xây dựng,CT
TFC,Công ty Cổ phần Trang,Thực phẩm và đồ uống,Thực phẩm,CT
NVL,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,Bất động sản,Bất động sản,CT
NTL,Công ty Cổ phần Phát triển Đô thị Từ Liêm,Bất động sản,Bất động sản,CT
PHC,Công ty Cổ phần Xây dựng Phục Hưng Holdings,Xây dựng và Vật liệu,Xây dựng,CT
PVL,Công ty Cổ phần Địa ốc Dầu khí,Bất động sản,Bất động sản,CT
PVR,Công ty Cổ phần Đầu tư PVR Hà Nội,Bất động sản,Bất động sản,CT
SDG,Công ty Cổ phần Sadico Cần Thơ,Hàng & Dịch vụ Công nghiệp,Containers & Đóng gói,CT
SGT,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công nghệ Thông tin,Internet,CT
VCG,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,Xây dựng và Vật liệu,Xây dựng,CT
TAW,Công ty Cổ phần Cấp nước Trung An,"Điện, nước & xăng dầu khí đốt",Nước,CT
THN,Công ty Cổ phần Cấp nước Thanh Hóa,"Điện, nước & xăng dầu khí đốt",Nước,CT
TKU,Công ty Cổ phần Công nghiệp Tung Kuang,Tài nguyên Cơ bản,Nhôm,CT
STH,Công ty Cổ phần STH Holdings,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",CT
VNA,Công ty Cổ phần Vận tải biển Vinaship,Hàng & Dịch vụ Công nghiệp,Vận tải Thủy,CT
TSD,Công ty Cổ phần Du lịch Trường Sơn Coecco,Du lịch và Giải trí,Vận tải hành khách & Du lịch,CT
CMD,Công ty Cổ phần Vật liệu xây dựng và Trang trí nội thất TP Hồ Chí Minh,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
NNC,Công ty Cổ phần Đá Núi Nhỏ,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
VPC,Công ty Cổ phần Đầu tư và Phát triển Năng lượng Việt Nam,Xây dựng và Vật liệu,Xây dựng,CT
ALT,Công ty Cổ phần Văn hóa Tân Bình,Truyền thông,"Sách, ấn bản & sản phẩm văn hóa",CT
CRC,Công ty Cổ phần Create Capital Việt Nam,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
HII,Công ty Cổ phần An Tiến Industries,Hóa chất,"Nhựa, cao su & sợi",CT
BNW,Công ty Cổ phần Nước sạch Bắc Ninh,"Điện, nước & xăng dầu khí đốt",Nước,CT
MCH,Công ty Cổ phần Hàng Tiêu Dùng MaSan,Thực phẩm và đồ uống,Thực phẩm,CT
DGT,Công ty Cổ phần Công trình Giao thông Đồng Nai,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
DNC,Công ty Cổ phần Điện nước Lắp máy Hải Phòng,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT
CTD,Công ty Cổ phần Xây dựng Coteccons,Xây dựng và Vật liệu,Xây dựng,CT
PIS,Tổng Công ty Pisico Bình Định - Công ty Cổ phần,Tài nguyên Cơ bản,Lâm sản và Chế biến gỗ,CT
ABB,Ngân hàng Thương mại Cổ phần An Bình,Ngân hàng,Ngân hàng,NH
CCT,Công ty Cổ phần Cảng Cần Thơ,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT
CEO,Công ty Cổ phần Tập đoàn C.E.O,Bất động sản,Bất động sản,CT
BHI,Tổng Công ty Cổ phần Bảo hiểm Sài Gòn - Hà Nội,Bảo hiểm,Bảo hiểm phi nhân thọ,BH
BSR,Công ty Cổ phần Lọc Hóa dầu Bình Sơn,Dầu khí,Sản xuất và Khai thác dầu khí,CT
BTH,Công ty Cổ phần Chế tạo Biến thế và Vật liệu Điện Hà Nội,Hàng & Dịch vụ Công nghiệp,Thiết bị điện,CT
DCS,Công ty Cổ phần Tập đoàn EDX,Hàng cá nhân & Gia dụng,Thiết bị gia dụng,CT
ABT,Công ty Cổ phần Xuất nhập khẩu Thủy sản Bến Tre,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT
DNP,Công ty Cổ phần DNP Holding,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
BTW,Công ty Cổ phần Cấp nước Bến Thành,"Điện, nước & xăng dầu khí đốt",Nước,CT
CMN,Công ty Cổ phần Lương thực Thực phẩm Colusa - Miliket,Thực phẩm và đồ uống,Thực phẩm,CT
CIP,Công ty Cổ phần Xây lắp và Sản xuất Công nghiệp,Xây dựng và Vật liệu,Xây dựng,CT
CMK,Công ty Cổ phần Cơ khí Mạo Khê - Vinacomin,Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT
BIG,Công ty Cổ phần Đầu tư BIG Group Holdings,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT
DHP,Công ty Cổ phần Điện cơ Hải Phòng,Hàng & Dịch vụ Công nghiệp,Thiết bị điện,CT
HNR,Công ty Cổ phần Rượu và Nước Giải Khát Hà Nội,Thực phẩm và đồ uống,Vang & Rượu mạnh,CT
FSO,Công ty Cổ phần Cơ khí đóng tàu thủy sản Việt Nam,Hàng & Dịch vụ Công nghiệp,Xe tải & Đóng tàu,CT
DBC,Công ty Cổ phần Tập đoàn Dabaco Việt Nam,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT
HT1,Công ty Cổ phần Xi măng VICEM Hà Tiên,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
DC1,Công ty Cổ phần Đầu tư Phát triển Xây dựng số 1,Xây dựng và Vật liệu,Xây dựng,CT
EIC,Công ty Cổ phần EVN Quốc Tế,Xây dựng và Vật liệu,Xây dựng,CT
VE2,Công ty Cổ phần Xây dựng Điện VNECO 2,Xây dựng và Vật liệu,Xây dựng,CT
AGG,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,Bất động sản,Bất động sản,CT
VFC,Công ty Cổ phần VINAFCO,Hàng & Dịch vụ Công nghiệp,Vận tải Thủy,CT
VUA,Công ty Cổ phần Chứng khoán Stanley Brothers,Dịch vụ tài chính,Môi giới chứng khoán,CK
VTR,Công ty Cổ phần Du lịch Vietravel,Du lịch và Giải trí,Vận tải hành khách & Du lịch,CT
SGI,Công ty Cổ phần Đầu tư SGI Holdings,Hàng cá nhân & Gia dụng,Hàng May mặc,CT
BBM,Công ty Cổ phần Bia Hà Nội - Nam Định,Thực phẩm và đồ uống,Sản xuất bia,CT
HTM,Tổng Công ty Thương mại Hà Nội – Công ty cổ phần,Bán lẻ,Bán lẻ phức hợp,CT
HAV,Công ty Cổ phần Rượu Hapro,Thực phẩm và đồ uống,Vang & Rượu mạnh,CT
DHT,Công ty Cổ phần Dược phẩm Hà Tây,Y tế,Dược phẩm,CT
VES,Công ty Cổ phần Đầu tư và Xây dựng Điện MÊ CA VNECO,Bất động sản,Bất động sản,CT
DXL,Công ty Cổ phần Du lịch và Xuất nhập khẩu Lạng Sơn,Du lịch và Giải trí,Khách sạn,CT
PNJ,Công ty Cổ phần Vàng bạc Đá quý Phú Nhuận,Hàng cá nhân & Gia dụng,Hàng cá nhân,CT
HSM,Tổng Công ty Cổ phần Dệt May Hà Nội,Hàng cá nhân & Gia dụng,Hàng May mặc,CT
HVA,Công ty Cổ phần Đầu tư HVA,Dịch vụ tài chính,Tài chính đặc biệt,CT
VMD,Công ty Cổ phần Y Dược phẩm Vimedimex,Y tế,Dược phẩm,CT
HVH,Công ty Cổ phần Đầu tư và Công nghệ HVC,Xây dựng và Vật liệu,Xây dựng,CT
GDW,Công ty Cổ phần Cấp nước Gia Định,"Điện, nước & xăng dầu khí đốt",Nước,CT
HVN,Tổng Công ty Hàng không Việt Nam - CTCP,Du lịch và Giải trí,Hàng không,CT
GEE,Công ty Cổ phần Điện lực Gelex,Hàng & Dịch vụ Công nghiệp,Thiết bị điện,CT
VLC,Tổng Công ty Chăn nuôi Việt Nam - Công ty Cổ phần,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT
HUG,Tổng công ty May Hưng Yên - Công ty Cổ phần,Hàng cá nhân & Gia dụng,Hàng May mặc,CT
ITS,"Công ty Cổ phần Đầu tư, Thương mại và Dịch vụ - Vinacomin",Hàng & Dịch vụ Công nghiệp,Máy công nghiệp,CT
KHS,Công ty Cổ phần Kiên Hùng,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT
DGW,Công ty Cổ phần Thế Giới Số,Bán lẻ,Phân phối hàng chuyên dụng,CT
KDM,Công ty Cổ phần Tập đoàn GCL,Xây dựng và Vật liệu,Xây dựng,CT
LAS,Công ty Cổ phần Supe Phốt phát và Hóa chất Lâm Thao,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT
VNX,Công ty Cổ phần Quảng cáo và Hội chợ Thương mại Vinexad,Truyền thông,Dịch vụ truyền thông,CT
AMS,Công ty Cổ phần Cơ khí Xây dựng AMECC,Hàng & Dịch vụ Công nghiệp,Nhà cung cấp thiết bị,CT
LNC,Công ty Cổ phần Lệ Ninh,Hóa chất,"Nhựa, cao su & sợi",CT
MBT,Công ty Cổ phần Bất động sản cho thuê Minh Bảo Tín,Bất động sản,Bất động sản,CT
MLC,Công ty Cổ phần Môi trường Đô thị Tỉnh Lào Cai,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT
VTM,Công ty Cổ phần Vận tải và Đưa đón thợ mỏ - Vinacomin,Du lịch và Giải trí,Vận tải hành khách & Du lịch,CT
MGC,Công ty Cổ phần Địa chất mỏ - TKV,Tài nguyên Cơ bản,Khai khoáng,CT
NAS,Công ty Cổ phần Dịch vụ Hàng không Sân bay Việt Nam,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT
L40,Công ty Cổ phần Đầu tư và Xây dựng 40,Xây dựng và Vật liệu,Xây dựng,CT
VNY,Công ty Cổ phần Thuốc thú y Trung ương I,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT
NQB,Công ty Cổ phần Cấp nước Quảng Bình,"Điện, nước & xăng dầu khí đốt",Nước,CT
NUE,Công ty Cổ phần Môi trường Đô thị Nha Trang,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT
PCM,Công ty Cổ phần Vật liệu Xây dựng Bưu điện,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
PLX,Tập đoàn Xăng dầu Việt Nam,Dầu khí,Sản xuất và Khai thác dầu khí,CT
PGB,Ngân hàng Thương mại Cổ phần Thịnh vượng và Phát triển,Ngân hàng,Ngân hàng,NH
POT,Công ty Cổ phần Thiết bị Bưu điện,Công nghệ Thông tin,Phần cứng,CT
PSE,Công ty Cổ phần Phân bón và hóa chất dầu khí Đông Nam Bộ,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT
PMJ,Công ty Cổ phần Vật tư Bưu điện,Công nghệ Thông tin,Thiết bị viễn thông,CT
PGS,Công ty Cổ phần Kinh doanh Khí Miền Nam,"Điện, nước & xăng dầu khí đốt",Phân phối xăng dầu & khí đốt,CT
PTG,Công ty Cổ phần May Xuất Khẩu Phan Thiết,Hàng cá nhân & Gia dụng,Hàng May mặc,CT
X20,Công ty Cổ phần X20,Hàng cá nhân & Gia dụng,Hàng May mặc,CT
QPH,Công ty Cổ phần Thủy điện Quế Phong,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT
SKH,Công ty Cổ phần Nước giải khát Sanest Khánh Hòa,Thực phẩm và đồ uống,Đồ uống & giải khát,CT
SAM,Công ty Cổ phần SAM Holdings,Công nghệ Thông tin,Thiết bị viễn thông,CT
SAL,Công ty Cổ phần Trục vớt Cứu hộ Việt Nam,Hàng & Dịch vụ Công nghiệp,Xe tải & Đóng tàu,CT
SDC,Công ty Cổ phần Tư vấn Sông Đà,Hàng & Dịch vụ Công nghiệp,Tư vấn & Hỗ trợ KD,CT
SSB,Ngân hàng Thương mại Cổ phần Đông Nam Á,Ngân hàng,Ngân hàng,NH
TPS,Công ty Cổ phần Bến bãi vận tải Sài Gòn,Du lịch và Giải trí,Vận tải hành khách & Du lịch,CT
SZE,Công ty Cổ phần Môi trường Sonadezi,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT
STG,Công ty Cổ phần Kho Vận Miền Nam,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT
STW,Công ty Cổ phần Cấp nước Sóc Trăng,"Điện, nước & xăng dầu khí đốt",Nước,CT
DOP,Công ty Cổ phần Vận tải Xăng dầu Đồng Tháp,Hàng & Dịch vụ Công nghiệp,Dịch vụ vận tải,CT
IDJ,Công ty Cổ phần Đầu tư IDJ Việt Nam,Bất động sản,Bất động sản,CT
MKV,Công ty Cổ phần Dược Thú Y Cai Lậy,Y tế,Dược phẩm,CT
PID,Công ty Cổ phần Trang trí nội thất Dầu khí,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
PPI,Công ty Cổ phần Đầu tư và Phát triển dự án hạ tầng Thái Bình Dương,Bất động sản,Bất động sản,CT
SHI,Công ty Cổ phần Quốc tế Sơn Hà,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT
SJ1,Công ty Cổ phần Nông nghiệp Hùng Hậu,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT
SSF,Công ty Cổ phần Giáo dục G Sài Gòn,Hàng cá nhân & Gia dụng,Giầy dép,CT
TID,Công ty Cổ phần Tổng Công ty Tín Nghĩa,Bất động sản,Bất động sản,CT
TTL,Tổng Công ty Thăng Long - Công ty Cổ phần,Xây dựng và Vật liệu,Xây dựng,CT
KGM,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Bán lẻ,Bán lẻ phức hợp,CT
KTS,Công ty Cổ phần Đường Kon Tum,Thực phẩm và đồ uống,Thực phẩm,CT
PLE,Công ty Cổ phần Tư vấn Xây dựng Petrolimex,Xây dựng và Vật liệu,Xây dựng,CT
VNE,Tổng Công ty Cổ phần Xây dựng điện Việt Nam,Xây dựng và Vật liệu,Xây dựng,CT
HNB,Công ty Cổ phần Bến xe Hà Nội,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT
AAT,Công ty Cổ phần Tập đoàn Tiên Sơn Thanh Hóa,Hàng cá nhân & Gia dụng,Hàng May mặc,CT
BMJ,Công ty Cổ phần Khoáng sản Miền Đông AHP,Tài nguyên Cơ bản,Khai khoáng,CT
CT6,Công ty Cổ phần Công trình 6,Xây dựng và Vật liệu,Xây dựng,CT
CX8,Công ty Cổ phần Đầu tư và Xây lắp Constrexim số 8,Xây dựng và Vật liệu,Xây dựng,CT
DAS,Công ty Cổ phần Máy - Thiết bị Dầu khí Đà Nẵng,Ô tô và phụ tùng,Sản xuất ô tô,CT
DBM,Công ty Cổ phần Dược - Vật tư Y tế Đắk Lắk,Y tế,Dược phẩm,CT
ABW,Công ty Cổ phần Chứng khoán An Bình,Dịch vụ tài chính,Môi giới chứng khoán,CK
DCM,Công ty Cổ phần - Tổng Công ty Phân bón Dầu Khí Cà Mau,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT
DTE,Công ty Cổ phần Đầu tư Năng lượng Đại Trường Thành Holdings,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT
BCG,Công ty Cổ phần Tập đoàn Bamboo Capital,Dịch vụ tài chính,Tài chính đặc biệt,CT
DP2,Công ty Cổ phần Dược phẩm Trung ương 2,Y tế,Dược phẩm,CT
LM3,Công ty Cổ phần Lilama 3,Xây dựng và Vật liệu,Xây dựng,CT
CMF,Công ty Cổ phần Thực phẩm Cholimex,Thực phẩm và đồ uống,Thực phẩm,CT
GER,Công ty Cổ phần Thể thao Ngôi sao Geru,Hóa chất,"Nhựa, cao su & sợi",CT
DKG,Công ty Cổ Phần Tập đoàn DamiK,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
PAT,Công ty Cổ phần Phốt pho Apatit Việt Nam,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT
EGL,Công ty Cổ phần Môi Trường Đô Thị Gia Lâm,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT
TMT,Công ty Cổ phần Ô tô TMT,Ô tô và phụ tùng,Sản xuất ô tô,CT
HHV,Công ty Cổ phần Đầu tư Hạ tầng Giao thông Đèo Cả,Xây dựng và Vật liệu,Xây dựng,CT
C69,Công ty Cổ phần Xây dựng 1369,Xây dựng và Vật liệu,Xây dựng,CT
DQC,Công ty Cổ phần Tập đoàn Điện Quang,Hàng cá nhân & Gia dụng,Thiết bị gia dụng,CT
LTG,Công ty Cổ phần Tập đoàn Lộc Trời,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT
VDL,Công ty Cổ phần Thực phẩm Lâm Đồng,Thực phẩm và đồ uống,Vang & Rượu mạnh,CT
GE2,Tổng Công ty Phát điện 2 - Công ty Cổ phần,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT
GSM,Công ty Cổ phần Thủy điện Hương Sơn,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT
