ticker,company_name,industry_group,sector_detail,company_type
TMB,Công ty Cổ phần Kinh doanh Than Miền Bắc - Vinacomin,Tài nguyên Cơ bản,Khai thác Than,CT
NTP,Công ty Cổ phần Nhựa Thiếu niên Tiền Phong,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
VTQ,Công ty Cổ phần Việt Trung Quảng Bình,Hóa chất,"Nhựa, cao su & sợi",CT
BDG,Công ty Cổ phần May mặc Bình Dương,Hàng cá nhân & Gia dụng,Hàng May mặc,CT
CK8,Công ty Cổ phần Cơ khí 120,Bất động sản,Bất động sản,CT
PEQ,Công ty Cổ phần Thiết bị xăng dầu Petrolimex,Dầu khí,Thiết bị và Dịch vụ Dầu khí,CT
CFV,Công ty Cổ phần Cà phê Thắng Lợi,Thực phẩm và đồ uống,Đồ uống & giải khát,CT
CAN,Công ty Cổ phần Đồ hộp Hạ Long,Thực phẩm và đồ uống,Thực phẩm,CT
CVN,Công ty Cổ phần Vinam,Y tế,Thiết bị y tế,CT
DID,Công ty Cổ phần DIC - Đồng Tiến,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
DXS,Công ty Cổ phần Dịch vụ Bất động sản Đất Xanh,Bất động sản,"Tư Vấn, Định giá, Môi giới Bất động sản",CT
TTF,Công ty Cổ phần Tập đoàn Kỹ nghệ Gỗ Trường Thành,Tài nguyên Cơ bản,Lâm sản và Chế biến gỗ,CT
DP1,Công ty Cổ phần Dược phẩm Trung ương CPC1,Y tế,Dược phẩm,CT
CMM,Công ty Cổ phần Camimex,Thực phẩm và đồ uống,Thực phẩm,CT
TV3,Công ty Cổ phần Tư vấn Xây dựng Điện 3,Xây dựng và Vật liệu,Xây dựng,CT
DVC,Công ty Cổ phần Thương mại dịch vụ Tổng Hợp Cảng Hải Phòng,"Điện, nước & xăng dầu khí đốt",Phân phối xăng dầu & khí đốt,CT
MSR,Công ty Cổ phần Masan High-Tech Materials,Tài nguyên Cơ bản,Khai khoáng,CT
BWE,Công ty Cổ phần - Tổng công ty Nước - Môi trường Bình Dương,"Điện, nước & xăng dầu khí đốt",Nước,CT
MTG,Công ty Cổ phần MT Gas,"Điện, nước & xăng dầu khí đốt",Phân phối xăng dầu & khí đốt,CT
HLA,Công ty Cổ phần Hữu Liên Á Châu,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT
AAS,Công ty Cổ phần Chứng khoán SmartInvest,Dịch vụ tài chính,Môi giới chứng khoán,CK
ITA,Công ty Cổ phần Đầu tư và Công nghiệp Tân Tạo,Bất động sản,Bất động sản,CT
VHE,Công ty Cổ phần Dược liệu và Thực phẩm Việt Nam,Y tế,Dược phẩm,CT
VGT,Tập đoàn Dệt May Việt Nam,Hàng cá nhân & Gia dụng,Hàng May mặc,CT
DPP,Công ty Cổ phần Dược Đồng Nai,Y tế,Dược phẩm,CT
LHC,Công ty Cổ phần Đầu tư và Xây dựng Thủy lợi Lâm Đồng,Xây dựng và Vật liệu,Xây dựng,CT
HAX,Công ty Cổ phần Dịch vụ Ô tô Hàng Xanh,Ô tô và phụ tùng,Sản xuất ô tô,CT
HDM,Công ty Cổ phần Dệt May Huế,Hàng cá nhân & Gia dụng,Hàng May mặc,CT
HDA,Công ty Cổ phần Hãng sơn Đông Á,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
HMG,Công ty Cổ phần Kim Khí Hà Nội - VNSTEEL,Tài nguyên Cơ bản,Thép và sản phẩm thép,CT
FOC,Công ty Cổ phần Dịch vụ Trực tuyến FPT,Truyền thông,Dịch vụ truyền thông,CT
HPT,Công ty Cổ phần Dịch vụ Công nghệ Tin học HPT,Công nghệ Thông tin,Phần mềm,CT
HPD,Công ty Cổ phần Thủy điện Đăk Đoa,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT
VIB,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,Ngân hàng,Ngân hàng,NH
PCG,Công ty Cổ phần Đầu tư Phát triển Gas Đô thị,"Điện, nước & xăng dầu khí đốt",Phân phối xăng dầu & khí đốt,CT
HVX,Công ty Cổ phần Xi măng Vicem Hải Vân,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
IDI,Công ty Cổ phần Đầu tư và Phát triển Đa Quốc Gia I.D.I,Thực phẩm và đồ uống,Nuôi trồng nông & hải sản,CT
GEL,Công ty Cổ phần Hạ tầng GELEX,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
KTC,Công ty Cổ phần Thương mại Kiên Giang,Thực phẩm và đồ uống,Thực phẩm,CT
DVN,Tổng Công ty Dược Việt Nam - CTCP,Y tế,Dược phẩm,CT
LQN,Công ty Cổ phần Licogi Quảng Ngãi,Xây dựng và Vật liệu,Xây dựng,CT
DM7,Công ty Cổ phần Dệt may 7,Hàng cá nhân & Gia dụng,Hàng May mặc,CT
INC,Công ty Cổ phần Tư vấn Đầu tư IDICO,Xây dựng và Vật liệu,Xây dựng,CT
MCO,Công ty Cổ phần Đầu tư và Xây dựng BDC Việt Nam,Xây dựng và Vật liệu,Xây dựng,CT
ILB,Công ty Cổ phần ICD Tân Cảng - Long Bình,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT
MTL,Công ty Cổ phần Dịch vụ Môi trường Đô thị Từ Liêm,Hàng & Dịch vụ Công nghiệp,Chất thải & Môi trường,CT
NAG,Công ty Cổ phần Tập đoàn Nagakawa,Hàng & Dịch vụ Công nghiệp,Hàng điện & điện tử,CT
VET,Công ty Cổ phần Thuốc Thú y Trung ương NAVETCO,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",CT
VW3,Công ty Cổ phần VIWASEEN3,Xây dựng và Vật liệu,Xây dựng,CT
VCK,Công ty Cổ phần Chứng Khoán VPS,Dịch vụ tài chính,Môi giới chứng khoán,CK
VNR,Tổng Công ty Cổ phần Tái bảo hiểm Quốc gia Việt Nam,Bảo hiểm,Tái bảo hiểm,BH
PIC,Công ty Cổ phần Đầu tư Điện lực 3,"Điện, nước & xăng dầu khí đốt",Sản xuất & Phân phối Điện,CT
VTA,Công ty Cổ phần VITALY,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
PLO,Công ty Cổ phần Kho vận Petec,Hàng & Dịch vụ Công nghiệp,"Kho bãi, hậu cần và bảo dưỡng",CT
PVI,Công ty Cổ phần PVI,Bảo hiểm,Bảo hiểm phi nhân thọ,BH
PTI,Tổng Công ty Cổ phần Bảo hiểm Bưu điện,Bảo hiểm,Bảo hiểm phi nhân thọ,BH
LSS,Công ty Cổ phần Mía đường Lam Sơn,Thực phẩm và đồ uống,Thực phẩm,CT
DLT,Công ty Cổ phần Du lịch và Thương mại - Vinacomin,Du lịch và Giải trí,Vận tải hành khách & Du lịch,CT
PVE,Tổng Công ty Tư vấn Thiết kế Dầu khí - Công ty Cổ phần,Dầu khí,Thiết bị và Dịch vụ Dầu khí,CT
MVN,Tổng Công ty Hàng hải Việt Nam - CTCP,Hàng & Dịch vụ Công nghiệp,Vận tải Thủy,CT
X77,Công ty Cổ phần Thành An 77,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,CT
SAS,Công ty Cổ phần Dịch vụ Hàng không Sân bay Tân Sơn Nhất,Bán lẻ,Phân phối hàng chuyên dụng,CT
SDA,Công ty Cổ phần SIMCO Sông Đà,Hàng & Dịch vụ Công nghiệp,Đào tạo & Việc làm,CT
